Title,Platforms,Date,Developers
NBA SuperCard,Android,"December 10, 2020",Koolhaus Games / Cat Daddy Games
NBA SuperCard,iOS,"December 10, 2020",Koolhaus Games / Cat Daddy Games
NBA 2K Mobile - Season 3,Android,"December 1, 2020",Cat Daddy Games
NBA 2K Mobile - Season 3,iOS,"December 1, 2020",Cat Daddy Games
Carnival Games,Microsoft Windows,"November 19, 2020",Mass Media Games
WWE SuperCard - Season 7,Amazon Appstore,"November 18, 2020",Cat Daddy Games
WWE SuperCard - Season 7,Android,"November 18, 2020",Cat Daddy Games
WWE SuperCard - Season 7,Facebook Gaming,"November 18, 2020",Cat Daddy Games
WWE SuperCard - Season 7,iOS,"November 18, 2020",Cat Daddy Games
Borderlands 3,PlayStation 5,"November 12, 2020",Gearbox Software / Gearbox Studio Québec
NBA 2K21,PlayStation 5,"November 12, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
Borderlands 3,Xbox Series X/S,"November 10, 2020",Gearbox Software / Gearbox Studio Québec
NBA 2K21,Xbox Series X/S,"November 10, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
XCOM 2: Collection,iOS,"November 5, 2020",Aspyr
BioShock 2 Remastered,macOS,"October 22, 2020",Feral Interactive
Mafia: Definitive Edition,Microsoft Windows,"September 25, 2020",Hangar 13
Mafia: Definitive Edition,PlayStation 4,"September 25, 2020",Hangar 13
Mafia: Definitive Edition,Xbox One,"September 25, 2020",Hangar 13
WWE 2K Battlegrounds,Microsoft Windows,"September 18, 2020",Saber Interactive
WWE 2K Battlegrounds,Nintendo Switch,"September 18, 2020",Saber Interactive
WWE 2K Battlegrounds,PlayStation 4,"September 18, 2020",Saber Interactive
WWE 2K Battlegrounds,Xbox One,"September 18, 2020",Saber Interactive
WWE 2K Battlegrounds,Stadia,"September 18, 2020",Saber Interactive
NBA 2K21,Microsoft Windows,"September 4, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K21,Nintendo Switch,"September 4, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K21,PlayStation 4,"September 4, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K21,Xbox One,"September 4, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K21,Stadia,"September 4, 2020",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
MyNBA 2K21,Android,"August 24, 2020",Koolhaus Games / Cat Daddy Games
MyNBA 2K21,iOS,"August 24, 2020",Koolhaus Games / Cat Daddy Games
PGA Tour 2K21,Microsoft Windows,"August 21, 2020",HB Studios
PGA Tour 2K21,Nintendo Switch,"August 21, 2020",HB Studios
PGA Tour 2K21,PlayStation 4,"August 21, 2020",HB Studios
PGA Tour 2K21,Xbox One,"August 21, 2020",HB Studios
PGA Tour 2K21,Stadia,"August 21, 2020",HB Studios
Sid Meier's Civilization VI,Android,"August 13, 2020",Aspyr
BioShock: The Collection,Nintendo Switch,"May 29, 2020",Virtuos
Borderlands: Legendary Collection,Nintendo Switch,"May 29, 2020",Turn Me Up Games
XCOM 2: Collection,Nintendo Switch,"May 29, 2020",Firaxis Games / Virtuos
Mafia II: Definitive Edition,Microsoft Windows,"May 19, 2020",Hangar 13
Mafia II: Definitive Edition,PlayStation 4,"May 19, 2020",Hangar 13
Mafia II: Definitive Edition,Xbox One,"May 19, 2020",Hangar 13
XCOM: Chimera Squad,Microsoft Windows,"April 24, 2020",Firaxis Games
Borderlands 3,Stadia,"December 17, 2019",Gearbox Software / Gearbox Studio Québec
Sid Meier's Civilization VI,PlayStation 4,"November 22, 2019",Aspyr
Sid Meier's Civilization VI,Xbox One,"November 22, 2019",Aspyr
NBA 2K20,Stadia,"November 19, 2019",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
WWE SuperCard - Season 6,Android,"November 14, 2019",Cat Daddy Games
WWE SuperCard - Season 6,iOS,"November 14, 2019",Cat Daddy Games
Borderlands 3,macOS,"October 30, 2019",Gearbox Software / Gearbox Studio Québec
Borderlands 2 VR,HTC Vive,"October 22, 2019",Gearbox Software
Borderlands 2 VR,Oculus Rift,"October 22, 2019",Gearbox Software
WWE 2K20,Microsoft Windows,"October 22, 2019",Visual Concepts / HB Studios / Saber Interactive
WWE 2K20,PlayStation 4,"October 22, 2019",Visual Concepts / HB Studios / Saber Interactive
WWE 2K20,Xbox One,"October 22, 2019",Visual Concepts / HB Studios / Saber Interactive
Borderlands 3,Microsoft Windows,"September 13, 2019",Gearbox Software / Gearbox Studio Québec
Borderlands 3,PlayStation 4,"September 13, 2019",Gearbox Software / Gearbox Studio Québec
Borderlands 3,Xbox One,"September 13, 2019",Gearbox Software / Gearbox Studio Québec
NBA 2K20,Microsoft Windows,"September 6, 2019",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K20,Nintendo Switch,"September 6, 2019",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K20,PlayStation 4,"September 6, 2019",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K20,Xbox One,"September 6, 2019",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K Mobile - Season 2,Android,"September 5, 2019",Cat Daddy Games
NBA 2K Mobile - Season 2,iOS,"September 5, 2019",Cat Daddy Games
NBA 2K20,Android,"September 4, 2019",Visual Concepts China / Visual Concepts South Korea
NBA 2K20,iOS,"September 4, 2019",Visual Concepts China / Visual Concepts South Korea
NBA 2K20 Demo,Nintendo Switch,"August 21, 2019",Visual Concepts
NBA 2K20 Demo,PlayStation 4,"August 21, 2019",Visual Concepts
NBA 2K20 Demo,Xbox One,"August 21, 2019",Visual Concepts
MyNBA 2K20,Android,"August 20, 2019",Koolhaus Games / Cat Daddy Games
MyNBA 2K20,iOS,"August 20, 2019",Koolhaus Games / Cat Daddy Games
NBA 2K Mobile,Android,"April 17, 2019",Cat Daddy Games
Borderlands 2: Ultra HD,Microsoft Windows,"April 3, 2019",Hangar 13
Borderlands: Game of the Year Edition,PlayStation 4,"April 3, 2019",Blind Squirrel Games
Borderlands: Game of the Year Edition,Xbox One,"April 3, 2019",Blind Squirrel Games
Borderlands: Game of the Year Edition Enhanced,Microsoft Windows,"April 3, 2019",Blind Squirrel Games
Borderlands: The Handsome Collection – Ultra HD,PlayStation 4,"April 3, 2019",Hangar 13
Borderlands: The Handsome Collection – Ultra HD,Xbox One,"April 3, 2019",Hangar 13
Borderlands: The Pre-Sequel! – Ultra HD,Microsoft Windows,"April 3, 2019",Hangar 13
Borderlands 2 VR,PlayStation VR,"December 14, 2018",Gearbox Software
Duke Nukem Forever,Xbox One Backwards Compatible,"December 5, 2018",Gearbox Software / Triptych Games / Piranha Games / 3D Realms
The Bureau: XCOM Declassified,Xbox One Backwards Compatible,"December 5, 2018",2K Marin / 2K Australia / 2K China
The Darkness,Xbox One Backwards Compatible,"December 5, 2018",Starbreeze Studios
NBA 2K Mobile,iOS,"November 19, 2018",Cat Daddy Games
Sid Meier's Civilization VI,Nintendo Switch,"November 16, 2018",Aspyr
WWE SuperCard – Season 5,Android,"November 14, 2018",Cat Daddy Games
WWE SuperCard – Season 5,Fire OS,"November 14, 2018",Cat Daddy Games
WWE SuperCard – Season 5,iOS,"November 14, 2018",Cat Daddy Games
Carnival Games,Nintendo Switch,"November 6, 2018",Mass Media Games
Carnival Games,PlayStation 4,"November 6, 2018",Mass Media Games
Carnival Games,Xbox One,"November 6, 2018",Mass Media Games
NBA 2K19,Android,"October 17, 2018",Visual Concepts China / Visual Concepts South Korea
NBA 2K Playgrounds 2,Microsoft Windows,"October 16, 2018",Saber Interactive
NBA 2K Playgrounds 2,Nintendo Switch,"October 16, 2018",Saber Interactive
NBA 2K Playgrounds 2,PlayStation 4,"October 16, 2018",Saber Interactive
NBA 2K Playgrounds 2,Xbox One,"October 16, 2018",Saber Interactive
WWE 2K19,Microsoft Windows,"October 9, 2018",Yuke's / Visual Concepts
WWE 2K19,PlayStation 4,"October 9, 2018",Yuke's / Visual Concepts
WWE 2K19,Xbox One,"October 9, 2018",Yuke's / Visual Concepts
NBA 2K19,iOS,"September 26, 2018",Visual Concepts China / Visual Concepts South Korea
NBA 2K19,Microsoft Windows,"September 11, 2018",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K19,Nintendo Switch,"September 11, 2018",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K19,PlayStation 4,"September 11, 2018",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K19,Xbox One,"September 11, 2018",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
NBA 2K19: The Prelude,PlayStation 4,"August 31, 2018",Visual Concepts
NBA 2K19: The Prelude,Xbox One,"August 31, 2018",Visual Concepts
MyNBA 2K19,Android,"August 30, 2018",Koolhaus Games / Cat Daddy Games
MyNBA 2K19,iOS,"August 30, 2018",Koolhaus Games / Cat Daddy Games
The Golf Club 2019 featuring PGA Tour,Microsoft Windows,"August 28, 2018",HB Studios
The Golf Club 2019 featuring PGA Tour,PlayStation 4,"August 28, 2018",HB Studios
The Golf Club 2019 featuring PGA Tour,Xbox One,"August 28, 2018",HB Studios
NBA 2K Online 2,Tencent,"August 2, 2018",Tencent Games
Axel & Pixel,Xbox One Backwards Compatible,"March 14, 2018",Silver Wish Games
Mafia II,Xbox One Backwards Compatible,"February 15, 2018",2K Czech
Prey,Xbox One Backwards Compatible,"February 15, 2018",Venom Games
Spec Ops: The Line,Xbox One Backwards Compatible,"January 30, 2018",Yager Development / Darkside Game Studios / Shadows in Darkness / 2K China / Blind Squirrel Games
The Darkness II,Xbox One Backwards Compatible,"January 30, 2018",Digital Extremes / 2K China
The Misadventures of P.B. Winterbottom,Xbox One Backwards Compatible,"January 30, 2018",The Odd Gentlemen
Sid Meier's Civilization VI,iOS,"December 22, 2017",Aspyr
NBA 2K18,Android,"December 15, 2017",Visual Concepts China / Visual Concepts South Korea
WWE 2K18,Nintendo Switch,"December 6, 2017",Blind Squirrel Games
WWE SuperCard – Season 4,Android,"November 16, 2017",Cat Daddy Games
WWE SuperCard – Season 4,Fire OS,"November 16, 2017",Cat Daddy Games
WWE SuperCard – Season 4,iOS,"November 16, 2017",Cat Daddy Games
Sid Meier's Pirates!,Xbox One Backwards Compatible,"October 24, 2017",Firaxis Games
WWE 2K18,Microsoft Windows,"October 17, 2017",Yuke's / Visual Concepts
WWE 2K18,PlayStation 4,"October 17, 2017",Yuke's / Visual Concepts
WWE 2K18,Xbox One,"October 17, 2017",Yuke's / Visual Concepts
NHL SuperCard 2K18,Android,"October 4, 2017",Koolhaus Games / Cat Daddy Games
NHL SuperCard 2K18,iOS,"October 4, 2017",Koolhaus Games / Cat Daddy Games
NBA 2K18,iOS,"September 21, 2017",Visual Concepts China / Visual Concepts South Korea
