Title,Date,Platforms,Developers
Call of Duty: Black Ops 4,"2018, 8, 3","PlayStation 4, Xbox One, Microsoft Windows"," Treyarch, Raven Software, Beenox"
Call of Duty: Black Ops Cold War,"2020, 11, 13",PlayStation 5,"Treyarch, Raven Software, Beenox"
Call of Duty: Infinite Warfare,"2016, 11, 4","Microsoft Windows, Xbox One, PlayStation 4",Infinity Ward
Call of Duty: Modern Warfare,"2019, 8, 23","Microsoft Windows, PlayStation 4, Xbox One, Microsoft Windows, Xbox One, PlayStation 4","Infinity Ward, Sledgehammer Games"
Call of Duty: WWII,"2017, 11, 3","Microsoft Windows, Xbox One, PlayStation 4","Raven Software, Sledgehammer Games"
Call of Duty: Warzone,"2020, 3, 10","Microsoft Windows, PlayStation 4, Xbox One","Infinity Ward, Raven Software"
Crash Bandicoot 4: It's About Time,"2020, 9, 16","PlayStation 4, Xbox One",Toys for Bob
Crash Bandicoot N. Sane Trilogy,"2017, 6, 30","PlayStation 4, Xbox One, Nintendo Switch","Toys for Bob, Vicarious Visions, Iron Galaxy"
Destiny 2,"2017, 9, 6","PlayStation 4, Xbox One, Microsoft Windows",Bungie Inc
Sekiro: Shadows Die Twice,"2019, 3, 22","Microsoft Windows, PlayStation 4, Xbox One","FromSoftware, Inc."
The Amazing Spider-Man,"2012, 6, 26","Nintendo 3DS,
Nintendo DS,
PlayStation 3,
Wii,
Xbox 360,
Android,
Microsoft Windows,",Beenox
Call of Duty: Advanced Warfare,"2014, 11, 4","PlayStation 4, Xbox One, Microsoft Windows",Sledgehammer Games
The Amazing Spider-Man 2,"2014, 4, 19","Nintendo 3DS,
Nintendo DS,
PlayStation 3,
Wii,
Xbox 360,
Android,
Microsoft Windows, PlayStation 4, Xbox One",Beenox
Call of Duty: Black Ops,"2010, 11, 9","PlayStation 3, Xbox 360, Microsoft Windows",Treyarch
Call of Duty: Black Ops 2,"2012, 11, 18","PlayStation 3, Xbox 360, Microsoft Windows",Treyarch
Call of Duty: Black Ops 3,"2015, 11, 6","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Treyarch
Call of Duty: Ghosts,"2013, 11, 15","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Infinity Ward
Call of Duty: Modern Warfare 3,"2011, 11, 8","PlayStation 3, Xbox 360, Microsoft Windows",Infinity Ward
Chivalry: Medieval Warfare,"2012, 11, 16","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Torn Banner Studios
Deadpool,"2013, 6, 25","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",High Moon Studios
Destiny,"2014, 9, 9","PlayStation 3, Xbox 360, PlayStation 4, Xbox One",Bungie
Skylanders: Giants,"2012, 10, 17","PlayStation 3, Xbox 360",Toys for Bob
Skylanders: Imaginators,"2016, 10, 13","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Toys for Bob
Skylanders: Spyro's Adventure,"2011, 10, 16","PlayStation 3, Xbox 360",Toys for Bob
Skylanders: SuperChargers,"2015, 9, 20","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Toys for Bob
Skylanders: Swap Force,"2013, 10, 13","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Vicarious Visions
Skylanders: Trap Team,"2014, 10, 2","PlayStation 3, Xbox 360, Microsoft Windows, PlayStation 4, Xbox One",Toys for Bob
Tony Hawk's Pro Skater 5,"2015, 9, 29","PlayStation 3, Xbox 360, PlayStation 4, Xbox One",Robomodo
