Title,Date,Platforms,Developers
Burnout Paradise Remastered,"June 19, 2020",Nintendo Switch,Criterion Games
Command & Conquer Remastered Collection,"June 5, 2020",Windows,Petroglyph Games
The Sims 4: Eco Lifestyle,"June 5, 2020",Macintosh,Maxis Redwood Shores
The Sims 4: Eco Lifestyle,"June 5, 2020",PlayStation 4,Maxis Redwood Shores
The Sims 4: Eco Lifestyle,"June 5, 2020",Windows,Maxis Redwood Shores
The Sims 4: Eco Lifestyle,"June 5, 2020",Xbox One,Maxis Redwood Shores
Rocket Arena,"July 14, 2020",PlayStation 4,Final Strike Games
Rocket Arena,"July 14, 2020",Windows,Final Strike Games
Rocket Arena,"July 14, 2020",Xbox One,Final Strike Games
Madden NFL 21 Mobile,"August 6, 2020",Android,EA Tiburon
Madden NFL 21 Mobile,"August 6, 2020",iOS,EA Tiburon
EA Sports UFC 4,"August 14, 2020",PlayStation 4,EA Canada
EA Sports UFC 4,"August 14, 2020",Xbox One,EA Canada
Madden NFL 21,"August 28, 2020",PlayStation 4,EA Tiburon
Madden NFL 21,"August 28, 2020",Stadia,EA Tiburon
Madden NFL 21,"August 28, 2020",Xbox One,EA Tiburon
Madden NFL 21,"August 28, 2020",Windows,EA Tiburon
Madden NFL 21,"November 10, 2020",Xbox Series X/S,EA Tiburon
Madden NFL 21,"November 12, 2020",PlayStation 5,EA Tiburon
The Sims 4: Star Wars: Journey to Batuu,"September 8, 2020",Macintosh,Maxis Redwood Shores
The Sims 4: Star Wars: Journey to Batuu,"September 8, 2020",PlayStation 4,Maxis Redwood Shores
The Sims 4: Star Wars: Journey to Batuu,"September 8, 2020",Windows,Maxis Redwood Shores
The Sims 4: Star Wars: Journey to Batuu,"September 8, 2020",Xbox One,Maxis Redwood Shores
Star Wars: Squadrons,"October 2, 2020",PlayStation 4,Motive Studios
Star Wars: Squadrons,"October 2, 2020",Xbox One,Motive Studios
Star Wars: Squadrons,"October 2, 2020",Windows,Motive Studios
FIFA 21,"October 9, 2020",Nintendo Switch,EA Vancouver / EA Romania
FIFA 21,"October 9, 2020",PlayStation 4,EA Vancouver / EA Romania
FIFA 21,"October 9, 2020",Windows,EA Vancouver / EA Romania
FIFA 21,"October 9, 2020",Xbox One,EA Vancouver / EA Romania
FIFA 21,"November 10, 2020",Xbox Series X/S,EA Vancouver / EA Romania
FIFA 21,"November 12, 2020",PlayStation 5,EA Vancouver / EA Romania
NHL 21,"October 16, 2020",PlayStation 4,EA Vancouver
NHL 21,"October 16, 2020",Xbox One,EA Vancouver
Need for Speed: Hot Pursuit Remastered,"November 6, 2020",PlayStation 4,Criterion Games
Need for Speed: Hot Pursuit Remastered,"November 6, 2020",Windows,Criterion Games
Need for Speed: Hot Pursuit Remastered,"November 6, 2020",Xbox One,Criterion Games
Need for Speed: Hot Pursuit Remastered,"November 13, 2020",Nintendo Switch,Criterion Games
The Sims 4: Snowy Escape,"November 13, 2020",Macintosh,Maxis Redwood Shores
The Sims 4: Snowy Escape,"November 13, 2020",PlayStation 4,Maxis Redwood Shores
The Sims 4: Snowy Escape,"November 13, 2020",Windows,Maxis Redwood Shores
The Sims 4: Snowy Escape,"November 13, 2020",Xbox One,Maxis Redwood Shores
Medal of Honor: Above and Beyond,"December 11, 2020",Oculus Rift,Respawn Entertainment
Medal of Honor: Above and Beyond,"December 11, 2020",Steam VR,Respawn Entertainment
