Title,Platforms,Date,Developers
L.A. Noire: The VR Case Files,PlayStation VR,"September 24, 2019",Videogames Deluxe Sydney / Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
Red Dead Redemption 2,Stadia,"November 19, 2019",Rockstar Studios
Red Dead Online,Stadia,"November 19, 2019",Rockstar Studios
Red Dead Redemption 2,Microsoft Windows,"November 5, 2019",Rockstar Studios
Red Dead Online,Microsoft Windows,"November 5, 2019",Rockstar Studios
Red Dead Online,PlayStation 4,"May 14, 2019",Rockstar Studios
Red Dead Online,Xbox One,"May 14, 2019",Rockstar Studios
Red Dead Redemption 2,PlayStation 4,"October 26, 2018",Rockstar Studios
Red Dead Redemption 2,Xbox One,"October 26, 2018",Rockstar Studios
L.A. Noire: The VR Case Files,Oculus Rift,"March 29, 2018",Videogames Deluxe Sydney / Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
L.A. Noire: The VR Case Files,HTC Vive,"December 15, 2017",Videogames Deluxe Sydney / Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
L.A. Noire,Nintendo Switch,"November 14, 2017",Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
L.A. Noire,PlayStation 4,"November 14, 2017",Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
L.A. Noire,Xbox One,"November 14, 2017",Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
Bully: Anniversary Edition,Android,"December 8, 2016",War Drum Studios
Bully: Anniversary Edition,iOS,"December 8, 2016",War Drum Studios
Red Dead Revolver,PlayStation 2 Originals on PlayStation 4,"October 11, 2016",Rockstar San Diego
The Warriors,PlayStation 2 Originals on PlayStation 4,"July 6, 2016",Rockstar Toronto
Max Payne,PlayStation 2 Originals on PlayStation 4,"April 22, 2016",Rockstar Canada
Manhunt,PlayStation 2 Originals on PlayStation 4,"March 22, 2016",Rockstar North
Bully,PlayStation 2 Originals on PlayStation 4,"March 22, 2016",Rockstar Vancouver
Grand Theft Auto: Liberty City Stories,Amazon Fire TV,"March 11, 2016",Lucid Games
Grand Theft Auto: Liberty City Stories,Fire OS,"March 11, 2016",Lucid Games
Grand Theft Auto: Liberty City Stories,Android,"February 11, 2016",Lucid Games
Grand Theft Auto: Liberty City Stories,iOS,"December 17, 2015",Lucid Games
Grand Theft Auto III,PlayStation 2 Originals on PlayStation 4,"December 5, 2015",DMA Design
Grand Theft Auto: Vice City,PlayStation 2 Originals on PlayStation 4,"December 5, 2015",Rockstar North
Grand Theft Auto: San Andreas,PlayStation 2 Originals on PlayStation 4,"December 5, 2015",Rockstar North
Grand Theft Auto: San Andreas,PlayStation 3,"December 1, 2015",War Drum Studios
Grand Theft Auto V,Microsoft Windows,"April 14, 2015",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
Grand Theft Auto Online,Microsoft Windows,"April 14, 2015",Rockstar North
Grand Theft Auto: Chinatown Wars,Android,"December 18, 2014",War Drum Studios
Grand Theft Auto: Chinatown Wars,Fire OS,"December 18, 2014",War Drum Studios
Grand Theft Auto V,PlayStation 4,"November 18, 2014",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
Grand Theft Auto V,Xbox One,"November 18, 2014",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
Grand Theft Auto Online,PlayStation 4,"November 18, 2014",Rockstar North
Grand Theft Auto Online,Xbox One,"November 18, 2014",Rockstar North
Grand Theft Auto: San Andreas,Xbox 360,"October 26, 2014",War Drum Studios
Grand Theft Auto III,Amazon Fire TV,"May 15, 2014",War Drum Studios
Grand Theft Auto III,Fire OS,"May 15, 2014",War Drum Studios
Grand Theft Auto: Vice City,Amazon Fire TV,"May 15, 2014",War Drum Studios
Grand Theft Auto: Vice City,Fire OS,"May 15, 2014",War Drum Studios
Grand Theft Auto: San Andreas,Amazon Fire TV,"May 15, 2014",War Drum Studios
Grand Theft Auto: iFruit,PlayStation Vita,"April 2, 2014",Lucid Games
Grand Theft Auto: San Andreas,Microsoft Windows Apps,"February 17, 2014",War Drum Studios
Grand Theft Auto: San Andreas,Windows Phone,"January 28, 2014",War Drum Studios
Grand Theft Auto: San Andreas,Android,"January 7, 2014",War Drum Studios
Grand Theft Auto: San Andreas,Fire OS,"January 7, 2014",War Drum Studios
Grand Theft Auto: San Andreas,iOS,"December 12, 2013",War Drum Studios
Grand Theft Auto: iFruit,Windows Phone,"November 19, 2013",Rockstar North
Grand Theft Auto: iFruit,Android,"October 28, 2013",Rockstar North
Grand Theft Auto Online,PlayStation 3,"October 1, 2013",Rockstar North
Grand Theft Auto Online,Xbox 360,"October 1, 2013",Rockstar North
Grand Theft Auto V,PlayStation 3,"September 17, 2013",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
Grand Theft Auto V,Xbox 360,"September 17, 2013",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
Grand Theft Auto: iFruit,iOS,"September 16, 2013",Rockstar North
Max Payne 3,macOS,"June 20, 2013",Rockstar Studios
Grand Theft Auto: Vice City,Android,"December 12, 2012",War Drum Studios
Grand Theft Auto: Vice City,iOS,"December 6, 2012",War Drum Studios
Max Payne,Android,"June 14, 2012",War Drum Studios
