Title,Platforms,Date,Developers
Tom Clancy's Ghost Recon Breakpoint,Stadia,"December 18, 2019","Ubisoft Paris, Ubisoft Belgrad, Ubisoft Bordeaux, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Odesa"
Star Trek: Bridge Crew,Oculus Quest,"December 16, 2019","Red Storm Entertainment, Ubisoft Barcelona"
Assassin's Creed: The Rebel Collection,Nintendo Switch,"December 6, 2019",Ubisoft Sofia
Might & Magic Heroes: Era of Chaos,Android,"November 26, 2019",Playcrab
Might & Magic Heroes: Era of Chaos,iOS,"November 26, 2019",Playcrab
Assassin's Creed Odyssey,Stadia,"November 19, 2019","Ubisoft Quebec, Sperasoft, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore"
Just Dance 2020,Stadia,"November 19, 2019","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2020,Nintendo Switch,"November 5, 2019","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2020,PlayStation 4,"November 5, 2019","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2020,Wii,"November 5, 2019","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2020,Xbox One,"November 5, 2019","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
Rayman Mini,Mac OS,"October 18, 2019","Ubisoft Montpellier, Pastagames"
Rabbids: Coding!,Microsoft Windows,"October 8, 2019",Ubisoft Montreal
Tom Clancy's Ghost Recon Breakpoint,Microsoft Windows,"October 4, 2019","Ubisoft Paris, Ubisoft Belgrad, Ubisoft Bordeaux, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Odesa"
Tom Clancy's Ghost Recon Breakpoint,PlayStation 4,"October 4, 2019","Ubisoft Paris, Ubisoft Belgrad, Ubisoft Bordeaux, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Odesa"
Tom Clancy's Ghost Recon Breakpoint,Xbox One,"October 4, 2019","Ubisoft Paris, Ubisoft Belgrad, Ubisoft Bordeaux, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Odesa"
Rayman Mini,TvOS,"September 24, 2019","Ubisoft Montpellier, Pastagames"
Rayman Mini,iOS,"September 19, 2019","Ubisoft Montpellier, Pastagames"
Discovery Tour: Assassin's Creed - Ancient Greece,Microsoft Windows,"September 10, 2019",Ubisoft Montreal
Growtopia,PlayStation 4,"July 18, 2019","Hamumu Software, Robinson Technologies"
Growtopia,Xbox One,"July 18, 2019","Hamumu Software, Robinson Technologies"
The Mighty Quest for Epic Loot,Android,"May 22, 2019",Ubisoft Paris Mobile
The Mighty Quest for Epic Loot,iOS,"May 22, 2019",Ubisoft Paris Mobile
Assassin's Creed III Remastered,Nintendo Switch,"May 21, 2019","Ubisoft Barcelona, Ubisoft Philippines, Ubisoft Shanghai"
Starlink: Battle for Atlas,Microsoft Windows,"April 30, 2019","Ubisoft Toronto, Red Storm Entertainment, Ubisoft Leamington, Ubisoft Reflections, Ubisoft San Francisco"
Assassin's Creed III Remastered,Microsoft Windows,"March 29, 2019","Ubisoft Barcelona, Ubisoft Philippines, Ubisoft Shanghai"
Assassin's Creed III Remastered,PlayStation 4,"March 29, 2019","Ubisoft Barcelona, Ubisoft Philippines, Ubisoft Shanghai"
Assassin's Creed III Remastered,Xbox One,"March 29, 2019","Ubisoft Barcelona, Ubisoft Philippines, Ubisoft Shanghai"
Growtopia,Nintendo Switch,"March 28, 2019","Hamumu Software, Robinson Technologies"
Space Junkies,Microsoft Windows,"March 26, 2019",Ubisoft Montpellier
Space Junkies,PlayStation 4,"March 26, 2019",Ubisoft Montpellier
Tom Clancy's The Division 2,Microsoft Windows,"March 15, 2019","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Leamington, Ubisoft Reflections, Ubisoft Shanghai, Ubisoft Sofia"
Tom Clancy's The Division 2,PlayStation 4,"March 15, 2019","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Leamington, Ubisoft Reflections, Ubisoft Shanghai, Ubisoft Sofia"
Tom Clancy's The Division 2,Xbox One,"March 15, 2019","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Leamington, Ubisoft Reflections, Ubisoft Shanghai, Ubisoft Sofia"
Trials Rising,Microsoft Windows,"February 26, 2019","RedLynx, Ubisoft Kyiv, Ubisoft Shanghai"
Trials Rising,Nintendo Switch,"February 26, 2019","RedLynx, Ubisoft Kyiv"
Trials Rising,PlayStation 4,"February 26, 2019","RedLynx, Ubisoft Kyiv"
Trials Rising,Xbox One,"February 26, 2019","RedLynx, Ubisoft Kyiv"
Anno 1800,Microsoft Windows,"February 16, 2019",Ubisoft Blue Byte
Far Cry New Dawn,Microsoft Windows,"February 15, 2019","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai"
Far Cry New Dawn,PlayStation 4,"February 15, 2019","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai"
Far Cry New Dawn,Xbox One,"February 15, 2019","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai"
Assassin's Creed: Rebellion,Android,"November 20, 2018",Behaviour Interactive
Assassin's Creed: Rebellion,iOS,"November 20, 2018",Behaviour Interactive
Valiant Hearts: The Great War,Nintendo Switch,"November 8, 2018",Ubisoft Montpellier
Brawlhalla,Nintendo Switch,"November 6, 2018",Blue Mammoth Games
Brawlhalla,Xbox One,"November 6, 2018",Blue Mammoth Games
Brawlhalla,PlayStation 4,"November 6, 2018",Blue Mammoth Games
Brawlhalla,Microsoft Windows,"November 6, 2018",Blue Mammoth Games
Jeopardy!,Nintendo Switch,"October 30, 2018",Frima Studio
Sports Party,Nintendo Switch,"October 30, 2018",Magic Pockets
Trivial Pursuit Live!,Nintendo Switch,"October 30, 2018",Ubisoft Chengdu
Wheel of Fortune,Nintendo Switch,"October 30, 2018",Ubisoft Chengdu
Just Dance 2019,Nintendo Switch,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2019,PlayStation 4,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2019,Wii,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2019,Wii U,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2019,Xbox 360,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2019,Xbox One,"October 23, 2018","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
Starlink: Battle for Atlas,Nintendo Switch,"October 16, 2018",Virtuos
Starlink: Battle for Atlas,PlayStation 4,"October 16, 2018","Ubisoft Toronto, Red Storm Entertainment, Ubisoft Leamington, Ubisoft Reflections, Ubisoft San Francisco"
Starlink: Battle for Atlas,Xbox One,"October 16, 2018","Ubisoft Toronto, Red Storm Entertainment, Ubisoft Leamington, Ubisoft Reflections, Ubisoft San Francisco"
Child of Light: Ultimate Edition,Nintendo Switch,"October 11, 2018",Ubisoft Montreal
Assassin's Creed Odyssey,Microsoft Windows,"October 5, 2018","Ubisoft Quebec, Sperasoft, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore"
Assassin's Creed Odyssey,PlayStation 4,"October 5, 2018","Ubisoft Quebec, Sperasoft, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore"
Assassin's Creed Odyssey,Xbox One,"October 5, 2018","Ubisoft Quebec, Sperasoft, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore"
South Park: The Stick of Truth,Nintendo Switch,"September 25, 2018","Obsidian Entertainment, South Park Digital Studios, Heavy Iron Studios, Magic Pixel Studios"
Legendary Fishing,New Nintendo 3DS,"September 18, 2018",Sims
Legendary Fishing,Nintendo Switch,"September 18, 2018",Sims
Legendary Fishing,PlayStation 4,"September 18, 2018",Sims
Transference,Microsoft Windows,"September 18, 2018","SpectreVision, Ubisoft Montreal"
Transference,PlayStation 4,"September 18, 2018","SpectreVision, Ubisoft Montreal"
Transference,Xbox One,"September 18, 2018","SpectreVision, Ubisoft Montreal"
The Settlers: History Edition,Microsoft Windows,"August 21, 2018",Ubisoft Blue Byte
Hungry Shark: World,Nintendo Switch,"July 17, 2018",Future Games of London
Hungry Shark: World,PlayStation 4,"July 17, 2018",Future Games of London
Hungry Shark: World,Xbox One,"July 17, 2018",Future Games of London
The Crew 2,Microsoft Windows,"June 29, 2018","Ivory Tower, Asobo Studio, Ubisoft Montpellier, Ubisoft Shanghai"
The Crew 2,PlayStation 4,"June 29, 2018","Ivory Tower, Asobo Studio, Ubisoft Montpellier, Ubisoft Shanghai"
The Crew 2,Xbox One,"June 29, 2018","Ivory Tower, Asobo Studio, Ubisoft Montpellier, Ubisoft Shanghai"
Far Cry 3: Classic Edition,PlayStation 4,"May 29, 2018",Ubisoft Pune
Far Cry 3: Classic Edition,Xbox One,"May 29, 2018",Ubisoft Pune
South Park: The Fractured But Whole,Nintendo Switch,"April 24, 2018","Ubisoft San Francisco, South Park Digital Studios, Massive Entertainment, Ubisoft Blue Byte, Ubisoft Osaka, Ubisoft Pune, Ubisoft Reflections"
Far Cry 5,Microsoft Windows,"March 27, 2018","Ubisoft Montreal, Ubisoft Toronto, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Reflections, Ubisoft Shanghai"
Far Cry 5,PlayStation 4,"March 27, 2018","Ubisoft Montreal, Ubisoft Toronto, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Reflections, Ubisoft Shanghai"
Far Cry 5,Xbox One,"March 27, 2018","Ubisoft Montreal, Ubisoft Toronto, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Reflections, Ubisoft Shanghai"
Assassin's Creed Rogue Remastered,PlayStation 4,"March 20, 2018","Ubisoft Sofia, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Montreal, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore"
Assassin's Creed Rogue Remastered,Xbox One,"March 20, 2018","Ubisoft Sofia, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Montreal, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore"
Hungry Dragon,Android,"February 22, 2018",Ubisoft Barcelona Mobile
Hungry Dragon,iOS,"February 22, 2018",Ubisoft Barcelona Mobile
Discovery Tour: Assassin's Creed - Ancient Egypt,Microsoft Windows,"February 20, 2018",Ubisoft Montreal
South Park: The Stick of Truth,PlayStation 4,"February 13, 2018","Obsidian Entertainment, South Park Digital Studios"
South Park: The Stick of Truth,Xbox One,"February 13, 2018","Obsidian Entertainment, South Park Digital Studios"
