,Publisher,Ticker,Title,Date,Platforms,Developers
0,Activision,ATVI,Call of Duty: Black Ops 4,"2018, 8, 3","PlayStation 4, Xbox One, Microsoft Windows"," Treyarch, Raven Software, Beenox"
1,Activision,ATVI,Call of Duty: Black Ops Cold War,"2020, 11, 13",PlayStation 5,"Treyarch, Raven Software, Beenox"
2,Activision,ATVI,Call of Duty: Infinite Warfare,"2016, 11, 4","Microsoft Windows, Xbox One, PlayStation 4",Infinity Ward
3,Activision,ATVI,Call of Duty: Modern Warfare,"2019, 8, 23","Microsoft Windows, PlayStation 4, Xbox One, Microsoft Windows, Xbox One, PlayStation 4","Infinity Ward, Sledgehammer Games"
4,Activision,ATVI,Call of Duty: WWII,"2017, 11, 3","Microsoft Windows, Xbox One, PlayStation 4","Raven Software, Sledgehammer Games"
5,Activision,ATVI,Call of Duty: Warzone,"2020, 3, 10","Microsoft Windows, PlayStation 4, Xbox One","Infinity Ward, Raven Software"
6,Activision,ATVI,Crash Bandicoot 4: It's About Time,"2020, 9, 16","PlayStation 4, Xbox One",Toys for Bob
7,Activision,ATVI,Crash Bandicoot N. Sane Trilogy,"2017, 6, 30","PlayStation 4, Xbox One, Nintendo Switch","Toys for Bob, Vicarious Visions, Iron Galaxy"
8,Activision,ATVI,Destiny 2,"2017, 9, 6","PlayStation 4, Xbox One, Microsoft Windows",Bungie Inc
9,Activision,ATVI,Sekiro: Shadows Die Twice,"2019, 3, 22","Microsoft Windows, PlayStation 4, Xbox One","FromSoftware, Inc."
0,Ubisoft,UBSFY,Anno 1800,"2019, 2, 16",Microsoft Windows,Ubisoft Blue Byte
1,Ubisoft,UBSFY,Anno 2205,"2015, 11, 3",Microsoft Windows,Blue Byte
2,Ubisoft,UBSFY,Assassin's Creed Chronicles: China,"2015, 4, 21","Microsoft Windows, PlayStation 4, Xbox One","Climax Studios, Massive Entertainment, Ubisoft Kyiv"
3,Ubisoft,UBSFY,Assassin's Creed Chronicles: India,"2016, 1, 13","Microsoft Windows, PlayStation 4, Xbox One","Climax Studios, Ubisoft Barcelona"
4,Ubisoft,UBSFY,Assassin's Creed Chronicles: Russia,"2016, 2, 9","Microsoft Windows, PlayStation 4, Xbox One","Climax Studios, Ubisoft Barcelona"
5,Ubisoft,UBSFY,Assassin's Creed III Remastered,"2019, 5, 21","Nintendo Switch, Microsoft Windows, PlayStation 4, Xbox One","Ubisoft Barcelona, Ubisoft Philippines, Ubisoft Shanghai"
6,Ubisoft,UBSFY,Assassin's Creed Odyssey,"2019, 11, 19","Stadia, Microsoft Windows, PlayStation 4, Xbox One","Ubisoft Quebec, Sperasoft, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore"
